t_s,Icell11_A,Icell12_A,Icell21_A,Icell22_A,Icell31_A,Icell32_A,I_RL_A,V_out_diff_V,E_out_J
9.67E-05,-5.996142,-5.996142,-5.99821,-5.99821,-5.9982066,-5.998207,1.0978378,3.6228647,4.67E-05
9.70E-05,-6.04723,-6.04723,-6.0477047,-6.0477047,-6.0477023,-6.047701,1.1079112,3.6561067,4.79E-05
9.73E-05,-6.095389,-6.095389,-6.096168,-6.096168,-6.096164,-6.096165,1.1178274,3.6888304,4.93E-05
9.77E-05,-6.157094,-6.157094,-6.156872,-6.156872,-6.1568694,-6.1568685,1.130882,3.7319105,5.11E-05
9.81E-05,-6.227411,-6.227411,-6.2277994,-6.2277994,-6.2277956,-6.227796,1.146567,3.7836711,5.32E-05
9.87E-05,-6.3064027,-6.3064027,-6.3060126,-6.3060126,-6.3060102,-6.3060093,1.1649892,3.8444648,5.63E-05
9.95E-05,-6.42426,-6.42426,-6.424587,-6.424587,-6.424583,-6.4245834,1.1946745,3.942426,5.94E-05
0.0001,-6.487223,-6.487223,-6.486816,-6.486816,-6.4868135,-6.486812,1.2115431,3.9980922,6.06E-05
0.0001,-6.487212,-6.487212,-6.48682,-6.48682,-6.4868193,-6.4868174,1.2115431,3.9980924,6.06E-05
0.0001,-6.487137,-6.487137,-6.4869013,-6.4869013,-6.4868984,-6.4868927,1.2115438,3.998094,6.06E-05
0.0001,-6.4871845,-6.4871845,-6.4869347,-6.4869347,-6.486928,-6.48693,1.2115449,3.9980984,6.06E-05
0.0001,-6.4871554,-6.4871554,-6.486984,-6.486984,-6.4869814,-6.486978,1.2115473,3.9981058,6.06E-05
0.0001,-6.487174,-6.487174,-6.48705,-6.48705,-6.4870443,-6.4870467,1.2115518,3.998121,6.06E-05
0.0001,-6.4871426,-6.4871426,-6.4871073,-6.4871073,-6.4871063,-6.4871035,1.211561,3.9981513,6.06E-05
0.000100001,-6.487214,-6.487214,-6.4871664,-6.4871664,-6.487161,-6.4871635,1.2115792,3.9982116,6.06E-05
0.000100002,-6.4873314,-6.4873314,-6.4872956,-6.4872956,-6.487294,-6.4872913,1.2116158,3.9983323,6.06E-05
