time	V(n001)	I(Cij)
1.836777036403734e-06	3.199982e+00	-3.211993e-03
1.844577207160720e-06	3.199982e+00	-3.212382e-03
1.852019356166239e-06	3.199982e+00	-3.212206e-03
1.859805482121383e-06	3.199982e+00	-3.211812e-03
1.866788757114890e-06	3.199982e+00	-3.211934e-03
1.874336951800360e-06	3.199982e+00	-3.212352e-03
1.880810607604901e-06	3.199982e+00	-3.212341e-03
1.888416413634789e-06	3.199982e+00	-3.211931e-03
1.894325399247352e-06	3.199982e+00	-3.211835e-03
1.902037480211551e-06	3.199982e+00	-3.212213e-03
1.908134592638095e-06	3.199982e+00	-3.212427e-03
1.916327669191210e-06	3.199982e+00	-3.212125e-03
1.923823570931381e-06	3.199982e+00	-3.211844e-03
1.940520075698642e-06	3.199982e+00	-3.212441e-03
1.949105784309513e-06	3.199982e+00	-3.212131e-03
1.958211499190033e-06	3.199982e+00	-3.211876e-03
1.966644777361455e-06	3.199982e+00	-3.212233e-03
1.974516402367705e-06	3.199982e+00	-3.212448e-03
1.983365380969960e-06	3.199982e+00	-3.212088e-03
1.990801305879749e-06	3.199982e+00	-3.211902e-03
1.999430498480041e-06	3.199982e+00	-3.212262e-03
2.006876981193351e-06	3.199982e+00	-3.212460e-03
2.015477758505824e-06	3.199982e+00	-3.212117e-03
2.022845266074886e-06	3.199982e+00	-3.211922e-03
2.031424207180870e-06	3.199982e+00	-3.212263e-03
2.039062878156832e-06	3.199982e+00	-3.212472e-03
2.047727484761450e-06	3.199982e+00	-3.212140e-03
2.055322625452255e-06	3.199982e+00	-3.211944e-03
2.064021839620392e-06	3.199982e+00	-3.212283e-03
2.071765549463450e-06	3.199982e+00	-3.212480e-03
2.080548485047517e-06	3.199982e+00	-3.212143e-03
2.088111874446228e-06	3.199982e+00	-3.211967e-03
2.096889899285735e-06	3.199982e+00	-3.212310e-03
2.104513423936784e-06	3.199982e+00	-3.212485e-03
2.113351701197655e-06	3.199982e+00	-3.212147e-03
2.120806571375643e-06	3.199982e+00	-3.211987e-03
2.129617986748568e-06	3.199982e+00	-3.212329e-03
2.137155372117123e-06	3.199982e+00	-3.212490e-03
2.146037471038813e-06	3.199982e+00	-3.212153e-03
2.153452900569388e-06	3.199982e+00	-3.212004e-03
2.162312696036287e-06	3.199982e+00	-3.212343e-03
2.169822273901920e-06	3.199982e+00	-3.212491e-03
2.178765741231085e-06	3.199982e+00	-3.212154e-03
2.186164404442605e-06	3.199982e+00	-3.212018e-03
2.195085534380689e-06	3.199982e+00	-3.212355e-03
2.202563322137365e-06	3.199982e+00	-3.212487e-03
2.211573937835183e-06	3.199982e+00	-3.212150e-03
2.218942180985202e-06	3.199982e+00	-3.212028e-03
2.227924635425618e-06	3.199982e+00	-3.212363e-03
2.235357652473762e-06	3.199982e+00	-3.212479e-03
2.244434707947393e-06	3.199982e+00	-3.212142e-03
2.251767149998094e-06	3.199982e+00	-3.212035e-03
2.260810885843548e-06	3.199982e+00	-3.212368e-03
2.268199661240260e-06	3.199982e+00	-3.212468e-03
2.277344926358334e-06	3.199982e+00	-3.212131e-03
2.284650434114693e-06	3.199982e+00	-3.212040e-03
2.293756135833208e-06	3.199982e+00	-3.212372e-03
2.301114348602813e-06	3.199982e+00	-3.212454e-03
2.310326547592752e-06	3.199982e+00	-3.212118e-03
2.317618625890983e-06	3.199982e+00	-3.212044e-03
2.326784682108168e-06	3.199982e+00	-3.212375e-03
2.334121110809483e-06	3.199982e+00	-3.212437e-03
2.343400887562140e-06	3.199982e+00	-3.212103e-03
2.350689112971007e-06	3.199982e+00	-3.212049e-03
2.359917615584429e-06	3.199982e+00	-3.212378e-03
2.367292999373082e-06	3.199982e+00	-3.212418e-03
2.376618249894343e-06	3.199982e+00	-3.212086e-03
2.384056588036758e-06	3.199982e+00	-3.212059e-03
2.393279461526813e-06	3.199982e+00	-3.212384e-03
2.400875573086767e-06	3.199982e+00	-3.212390e-03
2.410165590528376e-06	3.199982e+00	-3.212064e-03
