time	V(out_positive,out_negative)
2.718870658748990e-02	3.190803e+00
2.719870658748990e-02	3.190801e+00
2.720870658748990e-02	3.190803e+00
2.721870658748990e-02	3.190801e+00
2.722870658748990e-02	3.190803e+00
2.723870658748991e-02	3.190801e+00
2.724870658748990e-02	3.190803e+00
2.725870658748990e-02	3.190801e+00
2.726870658748990e-02	3.190803e+00
2.727870658748990e-02	3.190801e+00
2.728870658748990e-02	3.190803e+00
2.729870658748990e-02	3.190801e+00
2.730870658748990e-02	3.190803e+00
2.731870658748990e-02	3.190801e+00
2.732870658748991e-02	3.190803e+00
2.733870658748990e-02	3.190801e+00
2.734870658748990e-02	3.190803e+00
2.735870658748990e-02	3.190801e+00
2.736870658748990e-02	3.190803e+00
2.737870658748990e-02	3.190801e+00
2.738870658748990e-02	3.190803e+00
2.739870658748990e-02	3.190801e+00
2.740870658748991e-02	3.190803e+00
2.741870658748990e-02	3.190801e+00
2.742870658748990e-02	3.190803e+00
2.743870658748990e-02	3.190801e+00
2.744870658748990e-02	3.190803e+00
2.745870658748990e-02	3.190801e+00
2.746870658748990e-02	3.190803e+00
2.747870658748990e-02	3.190801e+00
2.748870658748990e-02	3.190803e+00
2.749870658748991e-02	3.190801e+00
2.750870658748990e-02	3.190803e+00
2.751870658748990e-02	3.190801e+00
2.752870658748990e-02	3.190803e+00
2.753870658748990e-02	3.190801e+00
2.754870658748990e-02	3.190803e+00
2.755870658748990e-02	3.190801e+00
2.756870658748990e-02	3.190803e+00
2.757870658748991e-02	3.190801e+00
2.758870658748990e-02	3.190803e+00
2.759870658748990e-02	3.190801e+00
2.760870658748990e-02	3.190803e+00
2.761870658748990e-02	3.190801e+00
2.762870658748990e-02	3.190803e+00
2.763870658748990e-02	3.190801e+00
2.764870658748990e-02	3.190803e+00
2.765870658748990e-02	3.190801e+00
2.766870658748991e-02	3.190803e+00
2.767870658748990e-02	3.190801e+00
2.768870658748990e-02	3.190803e+00
2.769870658748990e-02	3.190801e+00
2.770870658748990e-02	3.190803e+00
2.771870658748990e-02	3.190801e+00
2.772870658748990e-02	3.190803e+00
2.773870658748990e-02	3.190801e+00
2.774870658748991e-02	3.190803e+00
2.775870658748990e-02	3.190801e+00
2.776870658748990e-02	3.190803e+00
2.777870658748990e-02	3.190801e+00
2.778870658748990e-02	3.190803e+00
2.779870658748990e-02	3.190801e+00
2.780870658748990e-02	3.190803e+00
2.781870658748990e-02	3.190801e+00
2.782870658748990e-02	3.190803e+00
