config_id,t_s,Icell11_mA,Icell12_mA,Icell21_mA,Icell22_mA,I_RL_mA,V_out_diff_V,E_out_mJ
3.0,0.00016586086555560268,-1.4774992,-1.4774992,-0.014625342,-0.014625342,3.2965627,3.296505,0.004910483096622524
3.0,0.00016661864764023704,-1.6047328,-1.6047328,-0.014152895,-0.014152895,3.296398,3.2963586,0.004919264990485098
3.0,0.000167477247948756,-1.674361,-1.674361,-0.01378772,-0.01378772,3.2963843,3.2963617,0.00492951023732356
3.0,0.0001685043785974588,-1.7047089,-1.7047089,-0.013330539,-0.013330539,3.2964766,3.2964666,0.004942015788580097
3.0,0.000169778870818154,-1.7117401,-1.7117401,-0.01289962,-0.01289962,3.2966423,3.2966428,0.004958119771074712
3.0,0.00017146797854549888,-1.7051297,-1.7051297,-0.012279533,-0.012279533,3.2968655,3.296875,0.004980511969535862
3.0,0.00017389911574898487,-1.694381,-1.694381,-0.011533167,-0.011533167,3.29715,3.2971623,0.00500633084419766
3.0,0.00017621792045334936,-1.6861961,-1.6861961,-0.010792522,-0.010792522,3.297377,3.2973874,0.005033771727247183
3.0,0.00017894676853045442,-1.6798253,-1.6798253,-0.010061015,-0.010061015,3.297598,3.2976074,0.005063872150194515
3.0,0.00018175404637225086,-1.6743765,-1.6743765,-0.009288167,-0.009288167,3.2977855,3.2977946,0.005098316214376854
3.0,0.0001852810646016953,-1.6701883,-1.6701883,-0.008482233,-0.008482233,3.297979,3.2979884,0.005138524779802947
3.0,0.00018914757164273954,-1.6663378,-1.6663378,-0.00760777,-0.00760777,3.2981517,3.2981613,0.0051864860982127675
3.0,0.00019409923693385948,-1.6637309,-1.6637309,-0.0066993157,-0.0066993157,3.2983286,3.298339,0.0052449754085633375
3.0,0.00019990026523947007,-1.6611464,-1.6611464,-0.005704524,-0.005704524,3.2984915,3.2985027,0.0053198624260341245
3.0,0.0002078651279721741,-1.6597263,-1.6597263,-0.0046569402,-0.0046569402,3.2986622,3.2986748,0.005417602179222643
3.0,0.0002178651279721741,-1.658206,-1.658206,-0.0035532098,-0.0035532098,3.298824,3.298834,0.005526424912386477
3.0,0.0002278651279721741,-1.6580261,-1.6580261,-0.002786488,-0.002786488,3.298946,3.2989528,0.005635255580418646
3.0,0.0002378651279721741,-1.6572978,-1.6572978,-0.0021383737,-0.0021383737,3.2990398,3.2990444,0.005744092367240131
3.0,0.0002478651279721741,-1.657493,-1.657493,-0.001715977,-0.001715977,3.2991142,3.2991178,0.005852934034191907
3.0,0.0002578651279721741,-1.6569371,-1.6569371,-0.0013282298,-0.0013282298,3.2991748,3.2991774,0.005961779668577851
3.0,0.0002678651279721741,-1.6572207,-1.6572207,-0.0011027643,-0.0011027643,3.2992249,3.299227,0.006070628590532483
3.0,0.0002778651279721741,-1.6567068,-1.6567068,-0.0008640403,-0.0008640403,3.299267,3.2992687,0.006179480278515161
3.0,0.0002878651279721741,-1.6570139,-1.6570139,-0.0007513537,-0.0007513537,3.299303,3.2993045,0.006288334332057179
3.0,0.0002978651279721741,-1.6565123,-1.6565123,-0.0005980136,-0.0005980136,3.2993343,3.2993352,0.006397190434508861
3.0,0.0003078651279721741,-1.6568284,-1.6568284,-0.0005499618,-0.0005499618,3.2993612,3.2993622,0.006506048315786661
3.0,0.0003178651279721741,-1.6563343,-1.6563343,-0.00044556978,-0.00044556978,3.2993853,3.2993858,0.0066149077616863864
3.0,0.0003278651279721741,-1.6566576,-1.6566576,-0.00043457333,-0.00043457333,3.2994063,3.299407,0.006723768604569973
3.0,0.0003378651279721741,-1.6561708,-1.6561708,-0.00035824813,-0.00035824813,3.2994251,3.2994256,0.0068326306861125835
3.0,0.0003478651279721741,-1.656501,-1.656501,-0.0003684964,-0.0003684964,3.2994418,3.2994425,0.006941493875929058
3.0,0.0003578651279721741,-1.6560224,-1.6560224,-0.00030826483,-0.00030826483,3.2994573,3.2994576,0.007050358071573913
3.0,0.0003678651279721741,-1.6563767,-1.6563767,-0.00033066762,-0.00033066762,3.2994719,3.2994716,0.007159223207854569
3.0,0.0003778651279721741,-1.6561571,-1.6561571,-0.00027931473,-0.00027931473,3.2994874,3.2994869,0.007263955723963162
3.0,0.0003871057302604581,-1.656425,-1.656425,-0.00030934738,-0.0003093474,3.299502,3.299502,0.007368689180830135
3.0,0.0003971057302604581,-1.6560729,-1.6560729,-0.00026325946,-0.00026325943,3.2995176,3.2995179,0.007477557353222385
3.0,0.0004071057302604581,-1.6562765,-1.6562765,-0.00029663416,-0.00029663416,3.2995324,3.299533,0.007586426512816562
3.0,0.0004171057302604581,-1.6558889,-1.6558889,-0.00025372565,-0.00025372565,3.2995462,3.2995465,0.0076952965757936375
3.0,0.0004271057302604581,-1.656087,-1.656087,-0.00028948789,-0.00028948789,3.2995589,3.299559,0.007804167467647803
3.0,0.0004371057302604581,-1.6556973,-1.6556973,-0.00024839348,-0.00024839348,3.29957,3.2995706,0.007913039113873256
3.0,0.0004471057302604581,-1.6559058,-1.6559058,-0.00028551018,-0.00028551018,3.2995803,3.2995808,0.008021911439964188
