Save Time:,7/14/2026 14:49,,
,,CH1,CH2
Frequency:,,2.845 Hz,2.845 Hz
Period:,,351.500 mS,351.500 mS
SP:,,1000.000 uS,1000.000 uS
PK-PK:,,3.600 V,3.520 V
,,,
Units:(mV),,,
2522,2522000.000us,3520,80
2523,2523000.000us,3360,0
2524,2524000.000us,3440,0
2525,2525000.000us,3440,80
2526,2526000.000us,3440,80
2527,2527000.000us,0,0
2528,2528000.000us,0,0
2529,2529000.000us,80,80
2530,2530000.000us,80,80
2531,2531000.000us,80,0
2532,2532000.000us,80,80
2533,2533000.000us,80,80
2534,2534000.000us,160,3440
2535,2535000.000us,0,0
2536,2536000.000us,80,80
2537,2537000.000us,80,0
2538,2538000.000us,160,160
2539,2539000.000us,0,0
2540,2540000.000us,80,80
2541,2541000.000us,80,80
2542,2542000.000us,160,80
2543,2543000.000us,0,0
2544,2544000.000us,80,80
2545,2545000.000us,0,80
2546,2546000.000us,80,80
2547,2547000.000us,0,0
2548,2548000.000us,80,0
2549,2549000.000us,80,0
2550,2550000.000us,80,80
2551,2551000.000us,0,0
2552,2552000.000us,80,80
2553,2553000.000us,0,80
2554,2554000.000us,80,80
2555,2555000.000us,0,0
2556,2556000.000us,0,0
2557,2557000.000us,0,0
2558,2558000.000us,80,80
2559,2559000.000us,0,-80
2560,2560000.000us,80,80
2561,2561000.000us,80,80
2562,2562000.000us,80,80
2563,2563000.000us,0,0
2564,2564000.000us,80,80
2565,2565000.000us,80,0
2566,2566000.000us,160,80
2567,2567000.000us,0,0
2568,2568000.000us,80,0
2569,2569000.000us,80,0
2570,2570000.000us,160,80
2571,2571000.000us,0,0
2572,2572000.000us,0,0
2573,2573000.000us,80,80
2574,2574000.000us,80,80
2575,2575000.000us,80,0
2576,2576000.000us,80,80
2577,2577000.000us,80,0
2578,2578000.000us,80,80
2579,2579000.000us,0,0
2580,2580000.000us,0,0
2581,2581000.000us,80,80
2582,2582000.000us,80,80
2583,2583000.000us,80,-80
2584,2584000.000us,80,80
2585,2585000.000us,80,0
2586,2586000.000us,80,80
2587,2587000.000us,0,0
