time	V(N016,N024)	V(N048,out_1)	V(N074,N084)
2.449524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468127e-02
2.459524994354072e-03	-4.469013e-02	-4.468441e-02	-4.469870e-02
2.469524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468128e-02
2.479524994354072e-03	-4.469013e-02	-4.468441e-02	-4.469869e-02
2.489524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468130e-02
2.499524994354072e-03	-4.469013e-02	-4.468441e-02	-4.469868e-02
2.509524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468131e-02
2.519524994354072e-03	-4.469013e-02	-4.468441e-02	-4.469867e-02
2.529524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468132e-02
2.539524994354072e-03	-4.469013e-02	-4.468441e-02	-4.469866e-02
2.549524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468133e-02
2.559524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469865e-02
2.569524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468134e-02
2.579524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469863e-02
2.589524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468135e-02
2.599524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469862e-02
2.609524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468137e-02
2.619524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469861e-02
2.629524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468138e-02
2.639524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469860e-02
2.649524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468139e-02
2.659524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469859e-02
2.669524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468140e-02
2.679524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469858e-02
2.689524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468141e-02
2.699524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469857e-02
2.709524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468142e-02
2.719524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469856e-02
2.729524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468143e-02
2.739524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469855e-02
2.749524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468144e-02
2.759524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469854e-02
2.769524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468145e-02
2.779524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469853e-02
2.789524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468146e-02
2.799524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469852e-02
2.809524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468147e-02
2.819524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469851e-02
2.829524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468148e-02
2.839524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469850e-02
2.849524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468149e-02
2.859524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469849e-02
2.869524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468150e-02
2.879524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469848e-02
2.889524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468150e-02
2.899524994354072e-03	-4.468966e-02	-4.468441e-02	-4.469847e-02
2.909524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468152e-02
2.919524994354072e-03	-4.468966e-02	-4.468465e-02	-4.469846e-02
2.929524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468152e-02
2.939524994354072e-03	-4.468966e-02	-4.468465e-02	-4.469845e-02
2.949524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468153e-02
2.959524994354072e-03	-4.468966e-02	-4.468465e-02	-4.469844e-02
2.969524994354072e-03	-4.469252e-02	-4.469752e-02	-4.468154e-02
2.979524994354072e-03	-4.468966e-02	-4.468465e-02	-4.469844e-02
2.989524994354072e-03	-4.469204e-02	-4.469752e-02	-4.468155e-02
2.999524994354072e-03	-4.468966e-02	-4.468465e-02	-4.469843e-02
3.009524994354072e-03	-4.469204e-02	-4.469752e-02	-4.468156e-02
3.019524994354072e-03	-4.468966e-02	-4.468465e-02	-4.469842e-02
3.029524994354072e-03	-4.469204e-02	-4.469752e-02	-4.468157e-02
3.039524994354072e-03	-4.468966e-02	-4.468465e-02	-4.469841e-02
3.049524994354072e-03	-4.469204e-02	-4.469728e-02	-4.468157e-02
3.059524994354072e-03	-4.468966e-02	-4.468465e-02	-4.469840e-02
3.069524994354072e-03	-4.469204e-02	-4.469728e-02	-4.468158e-02
3.079524994354072e-03	-4.468966e-02	-4.468465e-02	-4.469839e-02
3.089524994354072e-03	-4.469204e-02	-4.469728e-02	-4.468159e-02
3.099524994354072e-03	-4.468966e-02	-4.468465e-02	-4.469839e-02
3.109524994354072e-03	-4.469204e-02	-4.469728e-02	-4.468160e-02
